question_id,q_text
Q87,Does the company disclose its corporate governance policy / board charter?
Q88,Are the types of decisions requiring board of directors/commissioners' approval disclosed ?
Q89,Are the roles and responsibilities of the board of directors/commissioners clearly stated ?
Q90,Does the company have an updated vision and mission statement?
Q91,Does the board of directors play a leading role in the process of developing and reviewing the company's strategy at least annually?
Q92,"Does the board of directors have a process to review, monitor and oversee the implementation of the corporate strategy?"
Q93,Are the details of the code of ethics or conduct disclosed?
Q94,"Are all directors/commissioners, senior management and employees required to comply with the code/s?"
Q95,Does the company have a process to implement and monitor compliance with the code/s of ethics or conduct?
Q96,Do independent directors/commissioners make up at least 50% of the board of directors/commissioners?
Q97,Does the company have a term limit of nine years or less or 2 terms of five years (The five years term must be required by legislation which pre-existed the introduction of the ASEAN Corporate Governance Scorecard in 2011) each for its independent directors/ commissioners?
Q98,Has the company set a limit of five board seats that an individual independent/non-executive director/commissioner may hold simultaneously?
Q99,Does the company have any executive directors who serve on more than two boards of listed companies outside of the group?
Q100,Does the company have a Nominating Committee? 
Q101,Is the Nominating Committee comprised of a majority of independent directors/commissioners?
Q102,Is the chairman of the Nominating Committee an independent director/commissioner?
Q103,Does the company disclose the terms of reference/ governance structure/charter of the Nominating Committee?
Q104,"Is the meeting attendance of the Nominating Committee disclosed and if so, did the Nominating Committee meet at least twice during the year?"
Q105,Does the company have a Remuneration Committee?
Q106,Is the Remuneration Committee comprised entirely of non-executive directors/commissioners with a majority of independent directors/commissioners ?
Q107,Is the chairman of the Remuneration Committee an independent director/commissioner?
Q108,Does the company disclose the terms of reference/ governance structure/ charter of the Remuneration Committee?
Q109,"Is the meeting attendance of the Remuneration Committee disclosed and, if so, did the Remuneration Committee meet at least twice during the year?"
Q110,Does the company have an Audit Committee? 
Q111,Is the Audit Committee comprised entirely of non-executive directors/commissioners with a majority of independent directors/commissioners?
Q112,Is the chairman of the Audit Committee an independent director/commissioner?
Q113,Does the company disclose the terms of reference/governance structure/charter of the Audit Committee?
Q114,Does at least one of the independent directors/commissioners of the committee have accounting expertise (accounting qualification or experience)?
Q115,"Is the meeting attendance of the Audit Committee disclosed and, if so, did the Audit Committee meet at least four times during the year?"
Q116,"Does the Audit Committee have primary responsibility for recommendation on the appointment, and removal of the external auditor?"
Q117,Are the board of directors meeting scheduled before the start of financial year?
Q118,Does the board of directors/commissioners meet at least six times during the year?
Q119,Has each of the directors/commissioners attended at least 75% of all the board meetings held during the year?
Q120,Does the company require a minimum quorum of at least 2/3 for board decisions? 
Q121,Did the non-executive directors/commissioners of the company meet separately at least once during the year without any executives present?
Q122,Are board papers for board of directors/commissioners meetings provided to the board at least five business days in advance of the board meeting?
Q123,Does the company secretary play a significant role in supporting the board in discharging its responsibilities?
Q124,"Is the company secretary trained in legal, accountancy or company secretarial practices and has kept abreast on relevant developments?"
Q125,Does the company disclose the criteria used in selecting new directors/commissioners?
Q126,Did the company describe the process followed in appointing new directors/commissioners?
Q127,Are all directors/commissioners subject to re-election every 3 years or 5 years for listed companies in countries whose legislation prescribes a term of 5 years (The five years term must be required by legislation which pre-existed the introduction of the ASEAN Corporate Governance Scorecard in 2011) each?
Q128,Do the shareholders or the Board of Directors approve the remuneration of the executive directors and/or the senior executives?
Q129,"Does the company have measurable standards to align the performance-based remuneration of the executive directors and senior executives with long-term interests of the company, such as claw back provision and deferred bonuses?"
Q130,Does the company have a separate internal audit function?
Q131,"Is the head of internal audit identified or, if outsourced, is the name of the external firm disclosed?"
Q132,Does the appointment and removal of the internal auditor require the approval of the Audit Committee?
Q133,Does the company establish a sound internal control procedures/risk management framework and periodically review the effectiveness of that framework?
Q134,"Does the Annual Report/Annual CG Report disclose that the board of directors/commissioners has conducted a review of the company's material controls (including operational, financial and compliance controls) and risk management systems?"
Q135,"Does the company disclose the key risks to which the company is materially exposed to (i.e. financial, operational including IT, environmental, social, economic)?"
Q136,Does the Annual Report/Annual CG Report contain a statement from the board of directors/commissioners or Audit Committee commenting on the adequacy of the company's internal controls/risk management systems?
Q137,Do different persons assume the roles of chairman and CEO?
Q138,Is the chairman an independent director/commissioner?
Q139,Is any of the directors a former CEO of the company in the past 2 years?
Q140,Are the roles and responsibilities of the chairman disclosed?
Q141,"If the Chairman is not independent, has the Board appointed a Lead/Senior Independent Director and has his/her role been defined?"
Q142,Does at least one non-executive director/commissioner have prior working experience in the major sector that the company is operating in?
Q143,Does the company have orientation programmes for new directors/commissioners?
Q144,Does the company have a policy and actual practice and programs that encourages directors/commissioners to attend on-going or continuous professional education programmes?
Q145,Does the company disclose the process on how the board of directors/commissioners plans for the succession of the CEO/Managing Director/President and key management?
Q146,Does the board of directors/commissioners conduct an annual performance assessment of the CEO/Managing Director/President?
Q147,Did the company conduct an annual performance assessment of the board of directors/commissioners and disclose the criteria and process followed for the assessment?
Q148,Did the company conduct an annual performance assessment of the individual directors/commissioners and disclose the criteria and process followed for the assessment?
Q149,Did the company conduct an annual performance assessment of the board committees and disclose the criteria and process followed for the assessment?
